"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*ka-Rabi-an","acd-s_r2.htm#7376","(gloss uncertain)"
"*ka-Rabiqi","acd-s_r2.htm#11082","last night"
"*kaRaC-i","acd-s_k.htm#7716","bite (imperative)"
"*kaRakap","acd-s_k.htm#3115","crab sp."
"*kaRaŋ","acd-s_g.htm#8859","small edible freshwater crab"
"*kaRat","acd-s_k.htm#7713","to bite"
"*kaRaw₁","acd-s_k.htm#7723","to scratch an itch"
"*kaRi₁","acd-s_k.htm#9794","word, speech, language"
"*kaRiqit","acd-s_k.htm#3117","sound of scratching"
"*kaRud","acd-s_k.htm#3121","scrape, grate, rasp"
"*kaRuki","acd-s_k.htm#3122","sand crab"
"*kaRus","acd-s_k.htm#3123","scrape"
"*kasambiʔ","acd-s_k.htm#3126","a tree:"
"*kasaw₁","acd-s_k.htm#7637","rafter, diagonal bamboo poles to which thatch panels are lashed"
"*kasaw₂","acd-s_k.htm#7638","kind of reed-like plant (?)"
"*kaskas₁","acd-s_k.htm#3128","loosen, untie"
"*kaskas₂","acd-s_k.htm#9962","scrape, scratch"
"*kasusu","acd-s_k.htm#12897","coconut crab"
"*kaS(e)pal","acd-s_k.htm#3130","thick, of solid objects"
"*kaSiw-en","acd-s_k.htm#7806","(gloss uncertain)"
"*katadu","acd-s_k.htm#3132","large green hairless stinging caterpillar"
"*ka-takut","acd-s_t.htm#7426","(gloss uncertain)"
"*kataman","acd-s_k.htm#6801","door, doorway"
"*ka-tanem-an","acd-s_c2.htm#7447","area that is planted(?)"
"*katapaŋ","acd-s_k.htm#9964","tree sp."
"*ka-taqu₂","acd-s_t.htm#10231","right hand, right side"
"*ka-tau-an","acd-s_c2.htm#2017","(gloss uncertain)"
"*katawa","acd-s_k.htm#10249","castor bean:  L."
"*katawan","acd-s_k.htm#3134","fish sp."
"*ka-telu","acd-s_t.htm#8421","all three, three together, three in total"
"*kati₁","acd-s_k.htm#7731","exhortation to call a person or animal"
"*katik","acd-s_k.htm#10005","high-pitched sound of striking against something hard but not resonant"
"*katimun","acd-s_k.htm#10006","tree sp."
"*katiR","acd-s_k.htm#8452","canoe hull, small outrigger canoe"
"*katkat₂","acd-s_k.htm#9799","come undone, of stitches"
"*katu","acd-s_k.htm#7156","send"
"*katuk","acd-s_k.htm#3136","knock"
"*kauŋ","acd-s_k.htm#3138","reverberate, of a sound"
"*kaut","acd-s_k.htm#12795","to take in one’s hand; handful"
"*ka-wanaN","acd-s_w.htm#9475","right (side, hand, direction)"
"*kaway₁","acd-s_k.htm#6469","wave the hand or arms; call by waving"
"*kaway₂","acd-s_k.htm#6470","tentacles of octopus, squid, jellyfish, etc."
"*kawayan","acd-s_k.htm#9776","bamboo,  spp., probably"
"*kawil₁","acd-s_k.htm#7240","fishhook"
"*ka-wiRi","acd-s_w.htm#5999","left side or direction"
"*kawit","acd-s_k.htm#7243","hook"
"*kayaw","acd-s_n4.htm#6527","headhunting"
"*ka-zalan-an","acd-s_z.htm#7593","improvised trail, trail made by passing through?"
"*kazaŋ₂","acd-s_k.htm#9925","palm leaf awning, usually on boats"
"*kebet₁","acd-s_k.htm#10053","tie by binding around"
"*kebit","acd-s_k.htm#3154","touch or tap so as to draw someone's attention"
"*kebkeb₁","acd-s_k.htm#9115","to enclose, shut in"
"*kebkeb₂","acd-s_k.htm#12873","to lie prone, face down"
"*kembuŋ","acd-s_k.htm#10055","swollen, filled out"
"*kebuR","acd-s_k.htm#9895","agitated, of water"
"*kendal","acd-s_k.htm#10144","a tree:  spp."
"*kedeŋ","acd-s_k.htm#9966","to stand; stretch out, as the body"
"*kedi","acd-s_k.htm#3158","small in size or amount"
"*kedip","acd-s_k.htm#3156","to blink"
"*kek","acd-s_k.htm#3160","squawk"
"*keŋkeŋ₁","acd-s_k.htm#3203","hollow, resounding sound"
"*keŋkeŋ₂","acd-s_k.htm#3204","cramps, stiffening of the limbs"
"*keŋkeŋ₃","acd-s_k.htm#3205","shrink"
"*ke(k)kek","acd-s_k.htm#3206","to cluck"
"*kelap₂","acd-s_k.htm#9946","shine, sparkle, twinkle"
"*kelaq","acd-s_k.htm#3162","crack, split"
"*kelas","acd-s_k.htm#3163","to peel, skin off"
"*kelem","acd-s_k.htm#8717","dark, overcast, visually obscure"
"*keleŋ₁","acd-s_k.htm#3166","cut into pieces"
"*kelip","acd-s_k.htm#3167","to blink"
"*kemel","acd-s_k.htm#9356","take in the hand, clasp, grasp"
"*kemes","acd-s_k.htm#9973","grip, compress, squeeze"
"*kemi","acd-s_k.htm#3168","suckerfish, remora: ; hold on by biting"
"*kemiq","acd-s_k.htm#3169","urinate"
"*kemkem₂","acd-s_k.htm#10079","bite down hard"
"*kemuR","acd-s_k.htm#9967","to hold liquid in the mouth; to gargle"
"*kenas","acd-s_k.htm#3172","preserved meat or fish"
"*keNa","acd-s_k.htm#3173","be ensnared, caught in a trap; suffer, undergo, be struck by something; be entrapped or deceived; hit the mark, be ‘on target’, correct, right, true"
"*keñej","acd-s_k.htm#3202","sink, drown"
"*keŋ₁","acd-s_k.htm#3210","hollow, resounding sound"
"*keŋ₂","acd-s_k.htm#3211","stiff, as a corpse"
"*kepik","acd-s_k.htm#3177","dent"
"*kepit","acd-s_k.htm#9181","press together; pressed together; carry under the arm, press between the legs"
"*kepkep","acd-s_k.htm#9832","to seize, hug, embrace"
"*kempu","acd-s_k.htm#10256","grandchild"
"*kepuk","acd-s_k.htm#3178","beat, crunch, break"
"*ke(m)pus","acd-s_k.htm#3208","come to an end"
"*kerap","acd-s_k.htm#9947","shine, sparkle, twinkle"
"*keret","acd-s_k.htm#10116","to sever, cut off"
"*keriq","acd-s_k.htm#3184","chattering, crying of monkeys"
"*keriqik","acd-s_k.htm#3183","shrill sound"
"*kerit","acd-s_k.htm#3185","scratch, grate"
"*keRan₁","acd-s_k.htm#8883","scab on a wound"
"*keRaŋ₁","acd-s_k.htm#3181","deep reverberating sound"
"*keRaŋ₂","acd-s_k.htm#3182","scab, crust on a wound"
"*keRaŋ₃","acd-s_k.htm#8884","dry"
"*keRas","acd-s_k.htm#10146","hard, strong, inflexible; vehement"
"*keRet","acd-s_k.htm#7120","cut something slender or soft; reap crops"
"*keRiq","acd-s_k.htm#12663","sword grass:"
"*keRkeR","acd-s_k.htm#3186","shake, tremble"
"*ke(R)lap","acd-s_k.htm#3209","flash, shine"
"*keRteŋ","acd-s_k.htm#3187","kind of striped or spotted marine fish, grouper:  spp."
"*keRuŋ","acd-s_k.htm#3190","resounding sound"
"*keRut","acd-s_k.htm#10087","to gnaw, sound of gnawing on something"
"*keseR","acd-s_k.htm#11019","strength, vigor, force"
"*keskes₁","acd-s_k.htm#3192","scratch, scrape"
"*keteb","acd-s_k.htm#3194","to bite"
"*keteŋ","acd-s_k.htm#3195","straighten out, of a limb, etc."
"*ketep₁","acd-s_k.htm#9363","to bite"
"*ketil","acd-s_k.htm#3196","pinch off"
"*ketuk","acd-s_k.htm#10010","to knock, pound"
"*ketuq","acd-s_k.htm#7732","pick, pluck, break off"
"*kezem","acd-s_k.htm#3199","close the eyes"
"*kezeŋ","acd-s_k.htm#9972","to stand; straighten out"
"*kezut₁","acd-s_k.htm#9978","to start, jump when startled"
"*ki-","acd-s_k.htm#8785","prefixed to a noun means ‘to get, obtain, collect, gather’ (noun)"
"*ki₂ₐ","acd-s_k.htm#8788","oblique case marker for singular personal nouns"
"*kiak","acd-s_k.htm#10080","to squawk, as a frightened chicken"
"*kiaw","acd-s_k.htm#3214","puling sound of a bird"
"*kiCiŋ","acd-s_k.htm#3215","body part"
"*kidiq","acd-s_k.htm#3217","to tickle"
"*kiDkiD","acd-s_k.htm#10012","to file, rasp"
"*kik","acd-s_k.htm#3219","a peep, squeak, giggle"
"*kikik","acd-s_k.htm#9900","to squeak, as a mouse; to giggle"
"*kiŋkiŋ₁","acd-s_k.htm#3248","ringing sound"
"*kiŋkiŋ₃","acd-s_k.htm#7663","little finger, pinky"
"*kikit","acd-s_k.htm#9931","small, trifling"
"*kikuR","acd-s_k.htm#8891","tail"
"*kilab","acd-s_k.htm#3220","flash, sparkle"
"*kila-kilat","acd-s_l.htm#7280","shine, flash repeatedly"
"*kilala","acd-s_k.htm#8773","to know (a person), recognize, be acquainted with; to feel, perceive"
"*kilap","acd-s_k.htm#7271","flash, sparkle"
"*kilat₁","acd-s_l.htm#7277","lightning"
"*kilat₂","acd-s_k.htm#3222","open the eyes wide"
"*kilep","acd-s_k.htm#3225","glance, glimpse"
"*kilik₁","acd-s_k.htm#8696","to tickle"
"*kiliŋ","acd-s_k.htm#3228","leaning sideways, listing (as a boat)"
"*kiluŋ","acd-s_k.htm#3229","curved; bay"
"*kiluq","acd-s_k.htm#9949","to bend, curve; bent, curved, crooked"
"*kima","acd-s_k.htm#7811","giant clam,"
"*kimet","acd-s_k.htm#3230","blink; flash"
"*k<in>aen","acd-s_k.htm#11967","what is eaten; food (cooked rice)"
"*k<in>ali-an","acd-s_k.htm#7710","place that has been dug up"
"*k<in>a-tau-an","acd-s_c2.htm#2019","nature, character"
"*kinit","acd-s_k.htm#3234","pinch, nip, pluck"
"*k<in>uja","acd-s_k.htm#7469","what has been said/done (to cause someone to react)?"
"*kiŋ","acd-s_k.htm#3255","ringing sound"
"*kiŋeR","acd-s_k.htm#10059","to hear"
"*ki(m)pes","acd-s_k.htm#3251","deflate, shrink"
"*kipit","acd-s_k.htm#9932","narrow; pinch between tongs, etc."
"*kiput","acd-s_k.htm#10015","narrow"
"*kiras","acd-s_k.htm#3237","scar"
"*kirik","acd-s_k.htm#3238","to tickle"
"*kiRam","acd-s_k.htm#3236","axe or adze"
"*kiRay","acd-s_k.htm#7915","pandanus sp., used in making mats"
"*kiRkiR","acd-s_k.htm#6705","rasp, file"
"*kiRus","acd-s_k.htm#3239","scrape"
"*kiseg","acd-s_k.htm#9953","twist spasmodically, wriggle"
"*kiskis","acd-s_k.htm#9836","to shave, scrape off"
"*kiSkiS","acd-s_k.htm#3240","scrape off"
"*k-ita","acd-s_i1.htm#11768","we (incl.)"
"*kita₂","acd-s_k.htm#8527","to see"
"*kita-en","acd-s_k.htm#8533","be seen by someone (?)"
"*kitik₁","acd-s_k.htm#9906","to tickle"
"*kitik₂","acd-s_k.htm#10127","to tick, make a ticking or light knocking sound"
"*kitkit","acd-s_k.htm#9986","to bite, gnaw"
"*ki-tunuh","acd-s_c2.htm#2132","(gloss uncertain)"
"*kiud","acd-s_k.htm#3244","movement in coitus; sexual intercourse"
"*kiuk","acd-s_k.htm#3245","peep, cheep"
"*kiuq","acd-s_k.htm#9379","movement in coitus; sexual intercourse"
"*kiwkiw","acd-s_k.htm#9802","to wave, wag (tail); to stir (people) up"
"*ki(n)zak","acd-s_k.htm#3253","tread, step"
"*-ku","acd-s_k.htm#8769","1sg genitive (marker of non-subject agency and possession; my; by me)"
"*ku","acd-s_k.htm#8801","oblique of common nouns (cf. *ki, *ka)"
"*kua₁","acd-s_k.htm#7466","how?, How is it?  What is the matter?"
"*kuak","acd-s_k.htm#3256","deep cry; bird with deep cry"
"*kuan₁","acd-s_k.htm#3257","hamlet; kin-based residential unit"
"*kuaw","acd-s_k.htm#3258","kind of bird and the sound of its call"
"*kumbal","acd-s_k.htm#3276","dry sago branch"
"*kubkub₂","acd-s_k.htm#9136","cover, coating"
"*kubu","acd-s_k.htm#9937","field hut in the rice fields"
"*kudem","acd-s_k.htm#3259","darkened by clouds, overcast"
"*kuden","acd-s_k.htm#6510","clay cooking pot"
"*kudeŋ","acd-s_k.htm#9249","clay cooking pot"
"*kudin","acd-s_k.htm#6511","clay cooking pot"
"*kudis","acd-s_k.htm#3260","scurfy skin disease; scabies"
"*kudkud","acd-s_k.htm#3262","hoof, lower leg of an ungulate"
"*kuDkuD","acd-s_k.htm#9840","to scrape, rasp, grate, as in grating coconuts"
"*kuhkuh","acd-s_k.htm#7266","scrape"
"*kuja","acd-s_k.htm#7468","how?, how is it?  what is the matter?"
"*kuk","acd-s_k.htm#3265","sound of sob, croak, etc."
"*kukuh","acd-s_k.htm#7273","claw, talon, fingernail"
"*kukun","acd-s_k.htm#3263","tree sp.:"
"*kukuŋ₁","acd-s_k.htm#9183","small bird that produces a deep resounding call"
"*kuŋkuŋ₁","acd-s_k.htm#9184","deep resounding sound; slit-gong, hollowed tree trunk used to send messages"
"*kuŋkuŋ₂","acd-s_k.htm#9185","curve, curved; hollow"
"*kuŋkuŋ₃","acd-s_k.htm#3316","shrink"
"*kukuq","acd-s_k.htm#9987","stick to, adhere firmly"
"*kulat₁","acd-s_k.htm#3270","open the eyes"
"*kulat₂","acd-s_k.htm#8466","bracket fungus,  spp."
"*kuliliŋ","acd-s_k.htm#8697","round about, around, in one’s surroundings; go around"
"*kulit","acd-s_k.htm#7214","skin; hide; rind; bark"
"*kulu₁","acd-s_k.htm#3274","a tree:  sp."
"*kuluŋ","acd-s_k.htm#3275","curl, curve"
"*kuluR","acd-s_k.htm#7651","breadfruit"
"*kulut","acd-s_k.htm#9843","curly-haired"
"*k<um>aen","acd-s_k.htm#8027","to eat"
"*k<um>ahiw","acd-s_k.htm#7803","(gloss uncertain)"
"*k<um>ali","acd-s_k.htm#7708","to dig up, excavate, as tubers"
"*kuman","acd-s_k.htm#7104","tiny parasite on the body, itch mite, chicken louse"
"*kumaŋ","acd-s_k.htm#7474","hermit crab"
"*k<um>aRat","acd-s_k.htm#7721","to bite"
"*kumi","acd-s_k.htm#8468","moustache"
"*kumis","acd-s_k.htm#8001","moustache, beard"
"*k<um>ita","acd-s_k.htm#8532","to see"
"*k<um>uja","acd-s_k.htm#7470","(gloss uncertain)"
"*kumuR","acd-s_k.htm#7666","gargle, rinse the mouth"
"*k<um>utu","acd-s_k.htm#7650","to delouse"
"*kunij","acd-s_k.htm#7652","turmeric:"
"*kunkun","acd-s_k.htm#3278","shrink"
"*kunu₂","acd-s_k.htm#9878","it is said, people say....."
"*kunut","acd-s_k.htm#3279","pinch"
"*kuŋ","acd-s_k.htm#3321","sound of cooing or barking"
"*ku(ŋ)kuŋ","acd-s_k.htm#3322","deep resonant sound; name of a bird with deep resonant cry"
"*kupit","acd-s_k.htm#3280","press together, close tightly"
"*kupkup₃","acd-s_k.htm#9991","to clutch, hold tightly"
"*kumpuŋ","acd-s_k.htm#3277","maimed, amputated, of a limb"
"*kumput","acd-s_k.htm#9383","maimed, amputated, of a limb"
"*kur","acd-s_k.htm#3296","word used to call chickens, etc."
"*kurap","acd-s_k.htm#9778","ringworm"
"*kur(e)qit","acd-s_k.htm#3297","scratch mark, line"
"*kuris₁","acd-s_k.htm#3290","scurfy skin disease; scabies"
"*kurkur","acd-s_k.htm#10020","dig in the soil"
"*kuru₁","acd-s_k.htm#3294","word used to call chickens, etc."
"*kuruq","acd-s_k.htm#10091","noise, clamor"
"*kurut","acd-s_k.htm#9849","curly-haired"
"*kuRapu","acd-s_k.htm#8519","a fish, the sea perch, giant rock cod, giant grouper:  spp."
"*kuRaw","acd-s_k.htm#3283","edible marine fish"
"*kuRita","acd-s_g.htm#7149","octopus"
"*kusik","acd-s_k.htm#3300","scream of a monkey"
"*kusu₁","acd-s_k.htm#3305","rub two things together, create friction, as sticks to make fire, or the hands"
"*kuSa","acd-s_k.htm#3299","work"
"*kutaña","acd-s_k.htm#3307","ask, inquire about"
"*kutkut₂","acd-s_k.htm#9850","scrape off"
"*kutu₁","acd-s_k.htm#7641","head louse; sparks from a fire; water striker (insect that walks on water)"
"*ku(n)tus","acd-s_k.htm#3319","break under tension"
"*laba","acd-s_l.htm#11385","big, large"
"*labak","acd-s_l.htm#3323","wide open"
"*la(m)bak","acd-s_l.htm#3383","slam something down"
"*laban₂","acd-s_l.htm#11388","oppose, go against someone"
"*laban-an","acd-s_l.htm#11389","oppose, go against someone"
"*labaw₁","acd-s_l.htm#8172","rat"
"*lambeg","acd-s_l.htm#6512","throw, cast"
"*lambeR","acd-s_l.htm#11772","roam freely, of domesticated animals that are untethered"
"*labeR₁","acd-s_l.htm#3324","wide"
"*labi₁","acd-s_l.htm#3326","excess; more than; surpass"
"*labiq","acd-s_l.htm#8759","excess, surplus"
"*labu₂","acd-s_l.htm#11658","ashen, grayish"
"*lambuk","acd-s_l.htm#3346","knock, pound, beat"
"*ladiŋ","acd-s_l.htm#3328","cleaver, sword"
"*lagi","acd-s_l.htm#3329","emphatic particle"
"*lahud","acd-s_l.htm#7039","downstream, toward the sea"
"*lajam","acd-s_l.htm#7492","familiar with, accustomed to"
"*lajaq","acd-s_l.htm#11404","pepper; to sting, of a wound or spices in food"
"*laji₁","acd-s_l.htm#3332","tree with poisonous sap, (probably )"
"*lajih","acd-s_l.htm#3331","dolphinfish"
"*lakaj","acd-s_l.htm#7850","to stride, take a step"
"*laŋkaq₁","acd-s_l.htm#9095","step, stride; to omit or skip over"
"*la(ŋ)kas","acd-s_l.htm#3397","spirited, energetic"
"*lakas","acd-s_l.htm#9096","quick, energetic, strong"
"*lakat₂","acd-s_l.htm#11755","walk, take a step"
"*laŋkaw","acd-s_l.htm#3382","high, tall"
"*lakaw","acd-s_l.htm#7859","to be in motion; go, walk"
"*lakaw lakaw","acd-s_l.htm#7863","wander about"
"*la(ŋ)ket","acd-s_l.htm#3399","stick, adhere to; sticky, viscous"
"*laki₁","acd-s_l.htm#3334","male, masculine; man"
"*lakup","acd-s_l.htm#7872","cover, wrapping"
"*lalak","acd-s_l.htm#9118","trochus shell"
"*la-lateŋ","acd-s_l.htm#7169","stinging nettle:  spp."
"*lalej","acd-s_l.htm#7572","housefly"
"*lali","acd-s_l.htm#11405","ankle bone (?)"
"*la-lima","acd-s_l.htm#7390","five (in counting people)"
"*la-limas","acd-s_l.htm#8535","bailer, instrument used for bailing"
"*lalin","acd-s_l.htm#11615","move, transfer"
"*laliŋ","acd-s_l.htm#11406","ankle bone (?)"
"*lalu₁","acd-s_l.htm#11616","more (intensive), even more, moreso; surplus; to worsen (as an illness)"
"*laluŋ","acd-s_l.htm#3339","cock, rooster"
"*lama₁","acd-s_l.htm#3342","lie on a surface, of water"
"*lama₂","acd-s_l.htm#3343","old, former"
"*lamak","acd-s_l.htm#3340","mat"
"*lamlam₁","acd-s_l.htm#3347","impetuous"
"*lamu₁","acd-s_l.htm#3353","seaweed sp."
"*lamuk₂","acd-s_l.htm#6882","mosquito"
"*lamun₁","acd-s_l.htm#3352","swamp grass"
"*lamuR","acd-s_l.htm#11676","dew"
"*lamut","acd-s_l.htm#9387","seaweed sp."
"*laña","acd-s_l.htm#3381","vegetable oil"
"*laŋaq₁","acd-s_l.htm#3379","gape, open wide"
"*laŋaw","acd-s_l.htm#7574","bluebottle, blowfly, horsefly"
"*laŋaw-en","acd-s_l.htm#7576","infested with flies, covered with flies"
"*laŋen₁","acd-s_l.htm#6729","rollers for beaching a canoe"
"*laŋ(e)si","acd-s_l.htm#11781","fishy smell"
"*la(ŋ)ga","acd-s_l.htm#3396","to heat food"
"*la(ŋ)gaq","acd-s_l.htm#11860","to heat food"
"*laŋit","acd-s_l.htm#7529","sky"
"*laŋu","acd-s_l.htm#3393","vertigo"
"*lapad","acd-s_l.htm#11678","broad and flat"
"*lampaŋ","acd-s_l.htm#3349","go"
"*lampaq","acd-s_l.htm#3348","walk, go"
"*lapaq","acd-s_l.htm#11425","to cut up, butcher, slaughter an animal"
"*lapaR₁","acd-s_l.htm#7577","hungry"
"*lapis","acd-s_l.htm#11423","stone slab, thin layer"
"*laplap","acd-s_l.htm#3356","loose (as of clothing)"
"*lapuk","acd-s_l.htm#11444","decayed, rotten, moldy, mildewed (of wood)"
"*laqia","acd-s_l.htm#6972","ginger"
"*laRaŋ","acd-s_l.htm#3360","to forbid"
"*laRiw","acd-s_l.htm#3361","run, run away, flee, escape"
"*laseR","acd-s_l.htm#7578","scrotum and testicles"
"*lasuq₁","acd-s_l.htm#11527","hot; blistered by heat"
"*lasuq₂","acd-s_l.htm#11722","penis"
"*lateŋ","acd-s_l.htm#7167","stinging nettle:  spp."
"*latu","acd-s_l.htm#11723","last burning bit; to snuff out a spark"
"*la(n)tuk","acd-s_l.htm#3390","curved, bowed"
"*latuq","acd-s_l.htm#3368","edible seaweed sp."
"*lauŋ","acd-s_l.htm#3370","howl"
"*lawa₁","acd-s_l.htm#3373","wide"
"*lawan₁","acd-s_l.htm#3374","kind of long fishnet"
"*lawaq₁","acd-s_l.htm#7101","dip net, scoop net"
"*lawaq₂","acd-s_l.htm#8178","spider; spiderweb"
"*lawaq-lawaq","acd-s_l.htm#8179","spider; spiderweb"
"*lawas₁","acd-s_l.htm#3371","wide, broad"
"*lawas₃","acd-s_l.htm#11643","internode of bamboo; section of something"
"*laway","acd-s_l.htm#11785","thread, yarn"
"*lawi₁","acd-s_l.htm#7029","long tail feathers of bird or rooster"
"*lawit₁","acd-s_l.htm#3376","hook"
"*layap","acd-s_l.htm#3378","to fly"
"*layaR","acd-s_l.htm#7409","sail"
"*layu","acd-s_l.htm#7111","wither, wilt"
"*lebeŋ₁","acd-s_l.htm#7171","to bury"
"*lebet","acd-s_l.htm#3401","set close together, dense, luxuriant"
"*lebiq","acd-s_l.htm#8761","excess, surplus"
"*lebleb₂","acd-s_l.htm#11411","sink, submerge; overflow"
"*lebuq","acd-s_l.htm#11536","village area"
"*lecik","acd-s_l.htm#3404","fly off, of solid bits or water droplets"
"*lecit","acd-s_l.htm#3405","squeeze out, squirt out"
"*ledep","acd-s_l.htm#11645","to dive, swim under water"
"*ledled","acd-s_l.htm#11647","to rub the eyes"
"*le(ŋ)gur","acd-s_l.htm#3451","thunder"
"*lekab","acd-s_l.htm#3452","open, uncover"
"*le(ŋ)kaŋ","acd-s_l.htm#3454","separate, disunite"
"*le(ŋ)kaq","acd-s_l.htm#3453","to split open"
"*lekas₁","acd-s_l.htm#3407","open, undress, remove, release"
"*leken","acd-s_l.htm#3408","coil"
"*lekes","acd-s_l.htm#3410","roll, curl up"
"*leŋkiq","acd-s_l.htm#3442","scream"
"*leku","acd-s_l.htm#3411","bend, fold, folding part of the body; curl up on the ground, of an animal"
"*leŋkuk","acd-s_l.htm#3443","bend, curve"
"*leŋkuŋ","acd-s_l.htm#11476","concave, curved inward"
"*lekuq₁","acd-s_l.htm#10897","bend; bending part, joint"
"*lem","acd-s_l.htm#8333","in, inside"
"*lemek₁","acd-s_l.htm#3412","soft"
"*lemek₂","acd-s_l.htm#3413","fertile, of soil"
"*lemeŋ₁","acd-s_l.htm#3415","wet, of soil"
"*lemer","acd-s_l.htm#3414","soaking wet"
"*lemes","acd-s_l.htm#11392","stifle, suffocate; drown"
"*lemiq₂","acd-s_l.htm#11742","to press, knead"
"*lemlem","acd-s_l.htm#3418","dark, of weather; overcast"
"*leŋa","acd-s_l.htm#11457","sesame"
"*leŋen","acd-s_l.htm#7763","forearm, lower arm"
"*lepak₁","acd-s_l.htm#3420","break, crack off"
"*lepaw₂","acd-s_l.htm#7769","field hut, granary"
"*lepes","acd-s_l.htm#12247","simultaneous, at once"
"*lepet₂","acd-s_l.htm#11467","to fold"
"*lepik","acd-s_l.htm#3425","snap, break off (twigs, etc.)"
"*lepit₁","acd-s_l.htm#3426","thin layer"
"*lepit₂","acd-s_l.htm#11468","to fold"
"*le(p)lep","acd-s_l.htm#3450","submerge, sink"
"*lepu","acd-s_l.htm#3431","fish with poisonous dorsal spines"
"*lepuq₂","acd-s_l.htm#9390","fish with poisonous dorsal spines"
"*leput","acd-s_l.htm#3430","blow out, force out"
"*leseq","acd-s_l.htm#3433","nit, egg of a louse"
"*lesles₂","acd-s_l.htm#11744","to wring, squeeze out by twisting or wringing"
